branch,budget_name,dataset_name,target_name,runtime_sec_mean,uncertainty_mean,mae,rmse,r2,n_valid,n_total,mae_mu,rmse_mu,r2_mu,mae_lambda,rmse_lambda,r2_lambda,mae_diffusion_rate,rmse_diffusion_rate,r2_diffusion_rate,mae_alpha,rmse_alpha,r2_alpha,mae_beta,rmse_beta,r2_beta,mae_gamma,rmse_gamma,r2_gamma,mae_energy_threshold,rmse_energy_threshold,r2_energy_threshold
patch,medium,primary,full_target,3.8773186919332923,0.028721824784245894,0.08284247030964714,0.11067977406051412,-0.14453485823270654,174,174,0.13590165272458718,0.1602568390970198,-0.026657046114805683,0.12667563527514986,0.1530520556843732,-0.10279863678033618,0.06519530380443442,0.08126411919158084,-0.11421541059130957,0.011388159388172213,0.013607594313469227,-0.05917774998198344,0.06704918342739043,0.07781899023516024,-0.049886219452141,0.06903425287613532,0.09298559071493237,-0.5098082136537512,0.10465310467166061,0.12309249149812636,-0.14920073105462217
patch,medium,primary,patch_target,3.8773186919332923,0.028721824784245894,0.04331740836470023,0.06048566696864186,-0.03096545933517219,174,174,0.06687829578458575,0.08283963125479557,-0.060467985211249076,0.0671929245816801,0.08000536468339507,-0.054887376741053595,0.035070508273773116,0.04407541955894005,-0.01462318429104803,0.005740504532393096,0.0072569369727368506,-0.12592979707150787,0.02436467667312979,0.031072235971449442,-0.08191447348490266,0.053003558293550634,0.07457815521337557,0.011424408208327574,0.05097139041378913,0.06183573116829767,0.10964019324522745
patch,small,external_unique,full_target,1.3014163781726171,0.05859337340267763,0.08823154426446786,0.11891820113875833,-0.142622185080342,63,63,0.14627393420242055,0.1777481007856262,-0.2965533042153834,0.12259409067037011,0.1465977408719861,-0.08657088823163073,0.0646974403692836,0.0787197105325222,-0.14014223328082243,0.012489545106923532,0.01448894260071819,-0.16784828642431848,0.06883798933950001,0.07999905491069413,-0.22617889892127985,0.08917917154849027,0.11366889639694493,-0.10874886954407703,0.11354863861428702,0.14205032873656268,0.027687185055118912
patch,small,external_unique,patch_target,1.3014163781726171,0.05859337340267763,0.0600988122748234,0.08457702557238471,-0.23045849476258315,63,63,0.08606849937465376,0.10755716085792152,0.12387235707431632,0.08967274696491462,0.11441364022550561,-0.76490717220612,0.05788350789505229,0.07107383444553728,-0.15810116992468948,0.007619778355039338,0.009701378534175733,-0.4641345744425982,0.03777239933287499,0.04683661113562743,-0.1758304721003887,0.06833500558846986,0.08468853039183569,0.07040064293340798,0.07333974841275889,0.10441487849143252,-0.24450907467201044
patch,small,primary,full_target,1.911980123355471,0.028721824784245894,0.08475818135183964,0.11152422337143966,-0.16614233993193797,174,174,0.13766648538526793,0.1636928865114092,-0.07115386988461725,0.12720139774034722,0.15116914489754346,-0.07583135918397388,0.06534199822337051,0.07937246042097724,-0.06294595067664122,0.011562570604333737,0.013774767039215112,-0.08536214016365995,0.0681155142395882,0.07841253183363718,-0.06596269627651008,0.07777531667959828,0.0966386577025979,-0.6307682708418261,0.10564398659037172,0.12425300131321776,-0.1709720924963387
patch,small,primary,patch_target,1.911980123355471,0.028721824784245894,0.042316940350562424,0.05898872297206963,0.010848164745082085,174,174,0.06620279686485014,0.0823902630910098,-0.04899405579427629,0.06323259935302024,0.07815591324142272,-0.006680280149052198,0.035861086124600636,0.04430958789188048,-0.025433008679537128,0.005577899353116279,0.007040602594203097,-0.05980087285813496,0.02468938674836553,0.030806493695687064,-0.06348767200201211,0.04953690087876647,0.06860766589583885,0.16337295493520632,0.05111791313121767,0.06158102224538971,0.11696008776338218
patch,tiny,external_unique,full_target,0.6476053586081852,0.05859337340267763,0.0865373538530301,0.11570526196444066,-0.09208868125041846,63,63,0.13881379058808557,0.16830542924061023,-0.16245644520994462,0.12065081058826599,0.1447612841776187,-0.05951805990543679,0.06330872077426808,0.07545824608466187,-0.047624072511935456,0.012368067084040433,0.014148431089781135,-0.11360099877958696,0.06815809409802398,0.08114495424201919,-0.26155783395854804,0.08960558099215013,0.11059111601750471,-0.04951919153685247,0.11285641284637662,0.14043640222459158,0.04965583314937483
patch,tiny,external_unique,patch_target,0.6476053586081852,0.05859337340267763,0.05966680611790741,0.08199720025014624,-0.18591821262738004,63,63,0.08962869313075582,0.10647114227189383,0.14147578269363503,0.07850676012277406,0.09836564760726538,-0.30452730013844165,0.05874948382689193,0.0738762507113777,-0.25122870917697027,0.008178143445551355,0.010031961212243664,-0.5656179214226162,0.03690869536312238,0.04537140861609306,-0.10341353792717323,0.0714572136183461,0.08573516468203475,0.047281509157432344,0.07423865331791026,0.10528749844288787,-0.2653973115775279
patch,tiny,primary,full_target,0.9575492732826321,0.028721824784245894,0.08583536317121462,0.11197739062500169,-0.1812630131960707,174,174,0.13878942516738965,0.16302552176806917,-0.06243763126702806,0.1284788424564514,0.15186945734111632,-0.08582232984744587,0.06581323868403383,0.07943501182862864,-0.06462197191040042,0.011470825603748675,0.01372330525202797,-0.07726757997387468,0.06797118760231408,0.0785300584395106,-0.06916047245680912,0.08243265121050332,0.09950954672463111,-0.7290994430445004,0.1058913714740614,0.12475387400134691,-0.18043166387243903
patch,tiny,primary,patch_target,0.9575492732826321,0.028721824784245894,0.041151593483754995,0.0571261650536942,0.07687266053738281,174,174,0.06469950822752686,0.07845355428212135,0.04885551201606941,0.06265042577071718,0.07652655529254167,0.034855796763394564,0.03260877683710254,0.0407291739417936,0.13359075958951216,0.005591732558420527,0.0069481557610449884,-0.032152102780176994,0.02369037926622176,0.02938755887279379,0.03222378956640215,0.04786959868971068,0.06660851304297478,0.21141940120968994,0.0509507330365854,0.06184700628967021,0.10931546739678688
